operon_name,coverage_num,Sample
operon_1235,16,tot_RNA
operon_1233,15,tot_RNA
operon_960,15,tot_RNA
rplU,15,tot_RNA
rlmE,15,tot_RNA
operon_142,15,tot_RNA
alaS,15,tot_RNA
ydhQ,15,tot_RNA
mltD,15,tot_RNA
thrS,15,tot_RNA
recA,15,tot_RNA
tdcD,15,tot_RNA
gpmA,15,tot_RNA
rpmF,15,tot_RNA
infB,15,tot_RNA
operon_1123,15,tot_RNA
ppa,15,tot_RNA
operon_118,15,tot_RNA
operon_1433,15,tot_RNA
adk,15,tot_RNA
rraA,15,tot_RNA
rpsI,15,tot_RNA
rpoH,15,tot_RNA
dapD,15,tot_RNA
operon_1431,15,tot_RNA
glyS,15,tot_RNA
operon_1617,14,tot_RNA
accD,14,tot_RNA
operon_740,14,tot_RNA
operon_451,14,tot_RNA
lipA,14,tot_RNA
pspE,14,tot_RNA
operon_851,14,tot_RNA
rpmE,14,tot_RNA
aspC,14,tot_RNA
folE,14,tot_RNA
pgi,14,tot_RNA
operon_1133,14,tot_RNA
xseA,14,tot_RNA
frdD,14,tot_RNA
asnS,14,tot_RNA
raiA,14,tot_RNA
operon_1110,14,tot_RNA
operon_1460,14,tot_RNA
udp,14,tot_RNA
yjeI,14,tot_RNA
rpmB,14,tot_RNA
pepT,14,tot_RNA
gcvB,14,tot_RNA
copA,14,tot_RNA
operon_1420,14,tot_RNA
ydeN,14,tot_RNA
galF,13,tot_RNA
rplY,13,tot_RNA
hfq,13,tot_RNA
mepS,13,tot_RNA
uspG,13,tot_RNA
operon_654,13,tot_RNA
ppiB,13,tot_RNA
operon_1603,13,tot_RNA
operon_601,13,tot_RNA
glmS,13,tot_RNA
ryeA,13,tot_RNA
operon_1426,13,tot_RNA
yiaF,13,tot_RNA
pgk,13,tot_RNA
nrfD,13,tot_RNA
skp,13,tot_RNA
operon_1144,13,tot_RNA
cysK,13,tot_RNA
fabF,13,tot_RNA
hdeB,13,tot_RNA
tldD,13,tot_RNA
operon_108,13,tot_RNA
asd,13,tot_RNA
tsf,13,tot_RNA
ssb,12,tot_RNA
gcvP,12,tot_RNA
maeB,12,tot_RNA
operon_1462,12,tot_RNA
operon_1492,12,tot_RNA
operon_266,12,tot_RNA
operon_265,12,tot_RNA
yccA,12,tot_RNA
fldB,12,tot_RNA
gnd,12,tot_RNA
secY,12,tot_RNA
grxD,12,tot_RNA
pyrG,12,tot_RNA
fusA,12,tot_RNA
prfC,12,tot_RNA
clpX,12,tot_RNA
operon_831,12,tot_RNA
operon_278,12,tot_RNA
operon_442,12,tot_RNA
rpoS,12,tot_RNA
dusB,12,tot_RNA
rpoA,12,tot_RNA
pepE,12,tot_RNA
operon_1362,12,tot_RNA
grxB,12,tot_RNA
def,12,tot_RNA
glgP,12,tot_RNA
rplI,12,tot_RNA
dmsC,11,tot_RNA
operon_176,11,tot_RNA
yaaA,11,tot_RNA
pykA,11,tot_RNA
dcrB,11,tot_RNA
ftsK,11,tot_RNA
operon_1645,11,tot_RNA
aspS,11,tot_RNA
slyA,11,tot_RNA
gcvH,11,tot_RNA
infA,11,tot_RNA
operon_833,11,tot_RNA
trxA,11,tot_RNA
rho,11,tot_RNA
panD,11,tot_RNA
operon_1450,11,tot_RNA
pykF,11,tot_RNA
rplA,11,tot_RNA
operon_1432,11,tot_RNA
lon,11,tot_RNA
rplT,11,tot_RNA
pflA,11,tot_RNA
uspF,11,tot_RNA
luxS,11,tot_RNA
operon_657,11,tot_RNA
bamC,11,tot_RNA
operon_759,11,tot_RNA
ydgA,11,tot_RNA
operon_647,11,tot_RNA
operon_245,11,tot_RNA
rluB,11,tot_RNA
operon_1030,11,tot_RNA
ucpA,11,tot_RNA
operon_1033,11,tot_RNA
tyrR,11,tot_RNA
sthA,11,tot_RNA
yceD,11,tot_RNA
fdhF,11,tot_RNA
ycfP,11,tot_RNA
yidC,11,tot_RNA
prs,11,tot_RNA
operon_655,11,tot_RNA
lptD,10,tot_RNA
operon_1067,10,tot_RNA
operon_1500,10,tot_RNA
bipA,10,tot_RNA
operon_426,10,tot_RNA
zapB,10,tot_RNA
rihC,10,tot_RNA
operon_1499,10,tot_RNA
dnaX,10,tot_RNA
hybC,10,tot_RNA
operon_1491,10,tot_RNA
operon_1539,10,tot_RNA
ihfB,10,tot_RNA
hybO,10,tot_RNA
gpr,10,tot_RNA
cadA,10,tot_RNA
ribB,10,tot_RNA
operon_1485,10,tot_RNA
ydcH,10,tot_RNA
operon_337,10,tot_RNA
focA,10,tot_RNA
operon_1141,10,tot_RNA
rraB,10,tot_RNA
operon_1229,10,tot_RNA
operon_106,10,tot_RNA
proV,10,tot_RNA
yeaQ,10,tot_RNA
treB,10,tot_RNA
operon_928,10,tot_RNA
yfiF,10,tot_RNA
slp,10,tot_RNA
gyrB,10,tot_RNA
cspC,10,tot_RNA
operon_891,10,tot_RNA
operon_914,10,tot_RNA
operon_604,10,tot_RNA
nrdD,10,tot_RNA
fkpA,10,tot_RNA
nuoG,10,tot_RNA
guaA,10,tot_RNA
suhB,10,tot_RNA
nrdA,10,tot_RNA
operon_126,10,tot_RNA
osmE,10,tot_RNA
nlpD,10,tot_RNA
valS,10,tot_RNA
panC,10,tot_RNA
operon_1267,9,tot_RNA
operon_1495,9,tot_RNA
operon_1490,9,tot_RNA
serA,9,tot_RNA
wzzB,9,tot_RNA
operon_44,9,tot_RNA
zapC,9,tot_RNA
ubiD,9,tot_RNA
rpmH,9,tot_RNA
operon_875,9,tot_RNA
dtpB,9,tot_RNA
yicC,9,tot_RNA
operon_658,9,tot_RNA
elaB,9,tot_RNA
leuS,9,tot_RNA
tdcB,9,tot_RNA
yaeH,9,tot_RNA
hflC,9,tot_RNA
operon_448,9,tot_RNA
operon_900,9,tot_RNA
yahO,9,tot_RNA
agp,9,tot_RNA
operon_1045,9,tot_RNA
mgsA,9,tot_RNA
preA,9,tot_RNA
ycbZ,9,tot_RNA
operon_124,9,tot_RNA
nagE,9,tot_RNA
dksA,9,tot_RNA
btsT,9,tot_RNA
garR,9,tot_RNA
lamB,9,tot_RNA
prc,9,tot_RNA
ybaL,9,tot_RNA
dnaK,9,tot_RNA
operon_103,9,tot_RNA
ygeY,9,tot_RNA
operon_102,9,tot_RNA
operon_187,9,tot_RNA
operon_1134,9,tot_RNA
yqfA,9,tot_RNA
can,9,tot_RNA
hpt,9,tot_RNA
operon_1305,9,tot_RNA
operon_1120,9,tot_RNA
bssR,9,tot_RNA
operon_834,9,tot_RNA
speA,9,tot_RNA
cspB,9,tot_RNA
operon_173,9,tot_RNA
rppH,9,tot_RNA
operon_1568,9,tot_RNA
operon_832,9,tot_RNA
operon_325,9,tot_RNA
operon_1549,9,tot_RNA
operon_794,9,tot_RNA
tas,9,tot_RNA
operon_721,8,tot_RNA
operon_811,8,tot_RNA
mlaA,8,tot_RNA
operon_713,8,tot_RNA
operon_719,8,tot_RNA
operon_1637,8,tot_RNA
operon_1121,8,tot_RNA
cra,8,tot_RNA
operon_70,8,tot_RNA
ptsG,8,tot_RNA
operon_149,8,tot_RNA
operon_1638,8,tot_RNA
tolB,8,tot_RNA
plsX,8,tot_RNA
operon_835,8,tot_RNA
operon_1143,8,tot_RNA
ytfK,8,tot_RNA
deoB,8,tot_RNA
lexA,8,tot_RNA
damX,8,tot_RNA
operon_79,8,tot_RNA
operon_333,8,tot_RNA
operon_342,8,tot_RNA
ycbJ,8,tot_RNA
operon_771,8,tot_RNA
operon_132,8,tot_RNA
pncB,8,tot_RNA
pepN,8,tot_RNA
lpxD,8,tot_RNA
operon_1145,8,tot_RNA
operon_882,8,tot_RNA
operon_105,8,tot_RNA
csrA,8,tot_RNA
operon_1079,8,tot_RNA
ycaO,8,tot_RNA
mreB,8,tot_RNA
operon_886,8,tot_RNA
pssA,8,tot_RNA
eco,8,tot_RNA
mfd,8,tot_RNA
operon_1627,8,tot_RNA
bglX,8,tot_RNA
operon_950,8,tot_RNA
adiC,8,tot_RNA
operon_610,8,tot_RNA
sohB,8,tot_RNA
ygfZ,8,tot_RNA
yieP,8,tot_RNA
operon_1269,8,tot_RNA
spoT,8,tot_RNA
operon_1261,8,tot_RNA
asnA,8,tot_RNA
msrC,8,tot_RNA
operon_1190,8,tot_RNA
zwf,8,tot_RNA
nuoL,8,tot_RNA
yqhD,8,tot_RNA
ygiN,8,tot_RNA
operon_1199,8,tot_RNA
operon_46,8,tot_RNA
ptsP,8,tot_RNA
ydfG,8,tot_RNA
operon_1221,8,tot_RNA
operon_208,8,tot_RNA
operon_1439,8,tot_RNA
operon_1441,8,tot_RNA
operon_445,8,tot_RNA
rcsB,8,tot_RNA
yjdM,8,tot_RNA
polA,8,tot_RNA
ppiD,8,tot_RNA
operon_964,8,tot_RNA
operon_1051,8,tot_RNA
operon_1629,8,tot_RNA
rpiA,8,tot_RNA
ssrS,8,tot_RNA
operon_1171,8,tot_RNA
pheT,8,tot_RNA
operon_1349,8,tot_RNA
kbp,7,tot_RNA
operon_814,7,tot_RNA
hemY,7,tot_RNA
bidA,7,tot_RNA
operon_1400,7,tot_RNA
dmsA,7,tot_RNA
tktA,7,tot_RNA
operon_1451,7,tot_RNA
operon_1567,7,tot_RNA
rpoC,7,tot_RNA
rfe,7,tot_RNA
rplN,7,tot_RNA
operon_1556,7,tot_RNA
operon_1132,7,tot_RNA
operon_852,7,tot_RNA
yhdH,7,tot_RNA
accC,7,tot_RNA
pepP,7,tot_RNA
pheS,7,tot_RNA
ldtB,7,tot_RNA
gstB,7,tot_RNA
corA,7,tot_RNA
flu,7,tot_RNA
aroK,7,tot_RNA
yihD,7,tot_RNA
operon_1180,7,tot_RNA
aegA,7,tot_RNA
operon_671,7,tot_RNA
operon_1041,7,tot_RNA
operon_1530,7,tot_RNA
pdxK,7,tot_RNA
operon_360,7,tot_RNA
operon_457,7,tot_RNA
glmM,7,tot_RNA
arcB,7,tot_RNA
operon_1047,7,tot_RNA
yhfK,7,tot_RNA
oppB,7,tot_RNA
treF,7,tot_RNA
galU,7,tot_RNA
hypE,7,tot_RNA
ychN,7,tot_RNA
yfaY,7,tot_RNA
yhbY,7,tot_RNA
topA,7,tot_RNA
rpoN,7,tot_RNA
rpsM,7,tot_RNA
osmC,7,tot_RNA
sra,7,tot_RNA
operon_934,7,tot_RNA
operon_1482,7,tot_RNA
serC,7,tot_RNA
pdxI,7,tot_RNA
operon_339,7,tot_RNA
dnaN,7,tot_RNA
tmaR,7,tot_RNA
operon_643,7,tot_RNA
ldtD,7,tot_RNA
operon_347,7,tot_RNA
gloC,7,tot_RNA
bamB,7,tot_RNA
ompF,7,tot_RNA
operon_1497,7,tot_RNA
operon_930,7,tot_RNA
operon_1172,7,tot_RNA
operon_541,7,tot_RNA
operon_68,7,tot_RNA
operon_269,7,tot_RNA
proS,7,tot_RNA
cydB,7,tot_RNA
operon_48,7,tot_RNA
operon_101,7,tot_RNA
operon_136,7,tot_RNA
operon_1639,7,tot_RNA
operon_279,7,tot_RNA
deoD,7,tot_RNA
operon_104,7,tot_RNA
frsA,7,tot_RNA
operon_62,7,tot_RNA
proC,7,tot_RNA
operon_111,7,tot_RNA
operon_248,7,tot_RNA
aphA,7,tot_RNA
dnaE,7,tot_RNA
operon_1616,7,tot_RNA
dcuC,7,tot_RNA
plsB,7,tot_RNA
tldE,7,tot_RNA
operon_1632,7,tot_RNA
operon_1615,7,tot_RNA
nrfA,7,tot_RNA
relA,6,tot_RNA
operon_1176,6,tot_RNA
operon_754,6,tot_RNA
dusA,6,tot_RNA
fecA,6,tot_RNA
rpoD,6,tot_RNA
operon_167,6,tot_RNA
pcnB,6,tot_RNA
operon_1173,6,tot_RNA
operon_417,6,tot_RNA
nusG,6,tot_RNA
ybjX,6,tot_RNA
gmhA,6,tot_RNA
maeA,6,tot_RNA
zur,6,tot_RNA
yjbJ,6,tot_RNA
operon_650,6,tot_RNA
ydbJ,6,tot_RNA
amiC,6,tot_RNA
operon_649,6,tot_RNA
hisS,6,tot_RNA
bfr,6,tot_RNA
pfkA,6,tot_RNA
operon_1377,6,tot_RNA
hemB,6,tot_RNA
operon_1545,6,tot_RNA
maoP,6,tot_RNA
rpsL,6,tot_RNA
operon_335,6,tot_RNA
fbp,6,tot_RNA
operon_1276,6,tot_RNA
ftsN,6,tot_RNA
rodZ,6,tot_RNA
operon_392,6,tot_RNA
rcsC,6,tot_RNA
yghB,6,tot_RNA
uxuR,6,tot_RNA
secB,6,tot_RNA
lpxL,6,tot_RNA
metK,6,tot_RNA
operon_999,6,tot_RNA
dppA,6,tot_RNA
operon_687,6,tot_RNA
operon_709,6,tot_RNA
operon_391,6,tot_RNA
operon_499,6,tot_RNA
ydgH,6,tot_RNA
accA,6,tot_RNA
fabR,6,tot_RNA
gss,6,tot_RNA
oxyR,6,tot_RNA
add,6,tot_RNA
operon_1219,6,tot_RNA
operon_1346,6,tot_RNA
epd,6,tot_RNA
yccU,6,tot_RNA
operon_54,6,tot_RNA
operon_945,6,tot_RNA
operon_388,6,tot_RNA
sseA,6,tot_RNA
ydhR,6,tot_RNA
wzzE,6,tot_RNA
operon_384,6,tot_RNA
miaA,6,tot_RNA
ftsZ,6,tot_RNA
gadE,6,tot_RNA
fklB,6,tot_RNA
operon_957,6,tot_RNA
secM,6,tot_RNA
tdh,6,tot_RNA
ackA,6,tot_RNA
aceF,6,tot_RNA
operon_1208,6,tot_RNA
helD,6,tot_RNA
gltX,6,tot_RNA
yagU,6,tot_RNA
rpmA,6,tot_RNA
operon_818,6,tot_RNA
operon_1074,6,tot_RNA
nusA,6,tot_RNA
pgl,6,tot_RNA
smpB,6,tot_RNA
malQ,6,tot_RNA
pepA,6,tot_RNA
moaA,6,tot_RNA
operon_552,6,tot_RNA
bamA,6,tot_RNA
operon_812,6,tot_RNA
hemA,6,tot_RNA
operon_98,6,tot_RNA
operon_100,6,tot_RNA
surA,6,tot_RNA
rnb,6,tot_RNA
kdsA,6,tot_RNA
operon_1146,6,tot_RNA
tcyJ,6,tot_RNA
operon_323,6,tot_RNA
operon_1429,6,tot_RNA
operon_1428,6,tot_RNA
ygaM,6,tot_RNA
operon_865,6,tot_RNA
operon_1595,6,tot_RNA
yajQ,6,tot_RNA
lapB,6,tot_RNA
grpE,6,tot_RNA
ftsX,6,tot_RNA
operon_580,6,tot_RNA
frdC,6,tot_RNA
mscL,6,tot_RNA
operon_1387,6,tot_RNA
yeeN,6,tot_RNA
pgpA,6,tot_RNA
operon_838,6,tot_RNA
operon_117,6,tot_RNA
yhhN,6,tot_RNA
rplQ,6,tot_RNA
dacA,6,tot_RNA
operon_320,6,tot_RNA
clpP,6,tot_RNA
operon_1165,6,tot_RNA
operon_264,6,tot_RNA
glnA,6,tot_RNA
operon_820,6,tot_RNA
clpB,6,tot_RNA
ubiT,6,tot_RNA
operon_1390,6,tot_RNA
yajO,6,tot_RNA
operon_1065,6,tot_RNA
operon_291,6,tot_RNA
gltP,5,tot_RNA
yebV,5,tot_RNA
operon_1317,5,tot_RNA
operon_1224,5,tot_RNA
zapA,5,tot_RNA
operon_839,5,tot_RNA
operon_1301,5,tot_RNA
operon_837,5,tot_RNA
operon_856,5,tot_RNA
operon_495,5,tot_RNA
operon_840,5,tot_RNA
tyrT,5,tot_RNA
nuoM,5,tot_RNA
mscS,5,tot_RNA
acnA,5,tot_RNA
bamD,5,tot_RNA
operon_55,5,tot_RNA
operon_89,5,tot_RNA
cysB,5,tot_RNA
glpG,5,tot_RNA
cnoX,5,tot_RNA
operon_966,5,tot_RNA
feoB,5,tot_RNA
yihA,5,tot_RNA
dsbB,5,tot_RNA
operon_1343,5,tot_RNA
pyrS,5,tot_RNA
operon_878,5,tot_RNA
cdsA,5,tot_RNA
operon_760,5,tot_RNA
operon_1322,5,tot_RNA
lptG,5,tot_RNA
frlR,5,tot_RNA
glrK,5,tot_RNA
mpl,5,tot_RNA
cpxP,5,tot_RNA
glnB,5,tot_RNA
operon_1518,5,tot_RNA
rihA,5,tot_RNA
pepQ,5,tot_RNA
yccJ,5,tot_RNA
rlmN,5,tot_RNA
nhaB,5,tot_RNA
yfhM,5,tot_RNA
yhfA,5,tot_RNA
map,5,tot_RNA
dauA,5,tot_RNA
prlC,5,tot_RNA
thyA,5,tot_RNA
operon_1340,5,tot_RNA
operon_435,5,tot_RNA
miaB,5,tot_RNA
operon_742,5,tot_RNA
operon_463,5,tot_RNA
recQ,5,tot_RNA
fabG,5,tot_RNA
lysS,5,tot_RNA
operon_107,5,tot_RNA
aroB,5,tot_RNA
operon_790,5,tot_RNA
yqeA,5,tot_RNA
ygeV,5,tot_RNA
operon_1263,5,tot_RNA
dinQ,5,tot_RNA
operon_870,5,tot_RNA
amiA,5,tot_RNA
ispE,5,tot_RNA
sapA,5,tot_RNA
atpI,5,tot_RNA
operon_92,5,tot_RNA
hsdR,5,tot_RNA
operon_1447,5,tot_RNA
operon_19,5,tot_RNA
ybiT,5,tot_RNA
mscK,5,tot_RNA
greA,5,tot_RNA
operon_1080,5,tot_RNA
exuR,5,tot_RNA
operon_1184,5,tot_RNA
obgE,5,tot_RNA
ygjR,5,tot_RNA
operon_555,5,tot_RNA
operon_1022,5,tot_RNA
dgcE,5,tot_RNA
ispB,5,tot_RNA
ybfA,5,tot_RNA
ftsQ,5,tot_RNA
operon_1424,5,tot_RNA
rhlB,5,tot_RNA
iraP,5,tot_RNA
operon_602,5,tot_RNA
metG,5,tot_RNA
operon_1192,5,tot_RNA
operon_1399,5,tot_RNA
ydjA,5,tot_RNA
yhaH,5,tot_RNA
ftsA,5,tot_RNA
operon_1072,5,tot_RNA
operon_1442,5,tot_RNA
tnaC,5,tot_RNA
operon_1169,5,tot_RNA
yjjW,5,tot_RNA
malM,5,tot_RNA
clpS,5,tot_RNA
operon_25,5,tot_RNA
yedJ,5,tot_RNA
operon_1162,5,tot_RNA
murE,5,tot_RNA
trxB,5,tot_RNA
dcd,5,tot_RNA
lrp,5,tot_RNA
rsgA,5,tot_RNA
operon_1038,5,tot_RNA
metY,5,tot_RNA
cyoA,5,tot_RNA
ppnP,5,tot_RNA
ydgJ,5,tot_RNA
topB,5,tot_RNA
ihfA,5,tot_RNA
rimO,5,tot_RNA
operon_1148,5,tot_RNA
operon_1540,5,tot_RNA
parC,5,tot_RNA
operon_1628,5,tot_RNA
dtpA,5,tot_RNA
znuA,5,tot_RNA
operon_179,5,tot_RNA
rfaD,5,tot_RNA
operon_284,5,tot_RNA
uvrB,5,tot_RNA
operon_1137,5,tot_RNA
asnB,5,tot_RNA
wecC,5,tot_RNA
sspB,5,tot_RNA
operon_1147,5,tot_RNA
yejG,5,tot_RNA
dxs,5,tot_RNA
sspA,5,tot_RNA
gpmM,5,tot_RNA
ccmH,5,tot_RNA
operon_242,5,tot_RNA
thiI,5,tot_RNA
hflK,5,tot_RNA
manX,5,tot_RNA
rnr,5,tot_RNA
operon_1528,5,tot_RNA
mnmG,5,tot_RNA
sdaA,5,tot_RNA
operon_1537,5,tot_RNA
operon_1581,5,tot_RNA
ileS,5,tot_RNA
operon_7,5,tot_RNA
operon_1350,5,tot_RNA
operon_1461,5,tot_RNA
operon_299,5,tot_RNA
yeiE,5,tot_RNA
operon_573,5,tot_RNA
operon_1213,5,tot_RNA
operon_1412,5,tot_RNA
yajC,4,tot_RNA
operon_1437,4,tot_RNA
lepB,4,tot_RNA
glgA,4,tot_RNA
operon_789,4,tot_RNA
htpX,4,tot_RNA
operon_578,4,tot_RNA
mioC,4,tot_RNA
yebF,4,tot_RNA
operon_1309,4,tot_RNA
operon_1498,4,tot_RNA
viaA,4,tot_RNA
pgsA,4,tot_RNA
glmU,4,tot_RNA
operon_1315,4,tot_RNA
operon_593,4,tot_RNA
yoaB,4,tot_RNA
ftnB,4,tot_RNA
yecA,4,tot_RNA
amn,4,tot_RNA
panE,4,tot_RNA
psd,4,tot_RNA
operon_180,4,tot_RNA
cyoE,4,tot_RNA
adeP,4,tot_RNA
rseA,4,tot_RNA
dcuB,4,tot_RNA
metQ,4,tot_RNA
operon_110,4,tot_RNA
kup,4,tot_RNA
yjgL,4,tot_RNA
yhhX,4,tot_RNA
pdeR,4,tot_RNA
yhhA,4,tot_RNA
yedD,4,tot_RNA
sppA,4,tot_RNA
operon_113,4,tot_RNA
trkH,4,tot_RNA
operon_765,4,tot_RNA
operon_1622,4,tot_RNA
cfa,4,tot_RNA
mnmC,4,tot_RNA
yhjJ,4,tot_RNA
prmB,4,tot_RNA
gadA,4,tot_RNA
fadL,4,tot_RNA
yeiG,4,tot_RNA
dgcF,4,tot_RNA
nupC,4,tot_RNA
htrL,4,tot_RNA
recR,4,tot_RNA
yfeC,4,tot_RNA
yohD,4,tot_RNA
pbpG,4,tot_RNA
apt,4,tot_RNA
dld,4,tot_RNA
frmA,4,tot_RNA
gsk,4,tot_RNA
dctA,4,tot_RNA
dfp,4,tot_RNA
operon_718,4,tot_RNA
manA,4,tot_RNA
operon_700,4,tot_RNA
groL,4,tot_RNA
operon_502,4,tot_RNA
operon_501,4,tot_RNA
yhjY,4,tot_RNA
ynfF,4,tot_RNA
lrhA,4,tot_RNA
gloA,4,tot_RNA
operon_1630,4,tot_RNA
gpsA,4,tot_RNA
hemC,4,tot_RNA
narP,4,tot_RNA
operon_1457,4,tot_RNA
yejK,4,tot_RNA
operon_1469,4,tot_RNA
operon_523,4,tot_RNA
cysS,4,tot_RNA
operon_125,4,tot_RNA
rdgC,4,tot_RNA
